G,W,L,W-L%,W,L,W,L,Tm.,Opp.
28,18,10,.643,12,1,5,7,2169,1965
28,13,15,.464,7,7,6,7,1903,1914
33,23,10,.697,14,2,5,6,2689,2427
28,12,16,.429,9,5,3,10,1846,1848
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
28,7,21,.250,7,9,0,11,1766,2040
28,22,6,.786,11,2,10,3,1958,1681
28,15,13,.536,6,6,6,6,2195,2204
33,28,5,.848,16,0,7,4,2473,1955
27,5,22,.185,5,8,0,13,1576,1789
28,11,17,.393,6,7,5,9,1896,2020
29,17,12,.586,10,2,7,9,2042,2073
27,16,11,.593,7,4,7,7,1795,1677
32,18,14,.563,13,5,4,8,2284,2162
30,19,11,.633,14,1,3,6,2156,1960
29,17,12,.586,8,4,7,8,2139,2096
30,10,20,.333,6,5,4,14,1893,2202
31,19,12,.613,13,5,6,7,2163,2158
29,19,10,.655,13,2,6,7,2159,2019
29,15,14,.517,10,5,5,7,1889,1811
28,12,16,.429,8,6,4,9,1875,1920
27,10,17,.370,6,5,4,12,1912,1997
28,12,16,.429,10,6,2,10,1894,1932
29,12,17,.414,6,6,6,11,1894,2088
29,8,21,.276,4,8,4,11,2007,2231
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
28,14,14,.500,9,4,5,9,1912,1955
30,23,7,.767,11,1,9,5,2111,1784
30,16,14,.533,11,5,4,8,1821,1822
30,15,15,.500,9,6,3,8,2001,1924
29,10,19,.345,6,6,3,9,2132,2264
30,23,7,.767,16,0,7,5,2185,1951
28,13,15,.464,9,3,4,11,1793,1833
30,16,14,.533,11,6,5,8,2145,2087
30,18,12,.600,9,5,9,6,2265,2143
29,15,14,.517,9,5,5,9,2018,1986
28,7,21,.250,5,8,2,12,1841,2033
28,13,15,.464,8,7,5,7,1827,1925
27,3,24,.111,2,8,1,16,1661,2123
30,17,13,.567,13,3,3,8,2029,1985
32,21,11,.656,11,6,8,4,2395,2252
28,14,14,.500,11,3,3,10,2044,1999
31,20,11,.645,8,2,9,7,2238,2209
28,12,16,.429,11,4,1,11,1839,1883
29,15,14,.517,13,2,1,11,2001,1971
30,11,19,.367,7,6,3,12,2149,2253
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
27,11,16,.407,8,5,3,11,1775,1839
30,13,17,.433,8,6,3,9,2295,2297
31,24,7,.774,14,0,8,5,2307,2115
30,17,13,.567,10,3,5,9,2185,2185
29,13,16,.448,11,4,0,11,1939,2033
28,11,17,.393,8,5,2,11,1899,1978
29,9,20,.310,8,9,1,11,1967,2060
27,13,14,.481,7,4,4,9,2146,2109
30,14,16,.467,9,3,2,13,2281,2281
34,21,13,.618,12,7,6,5,2418,2338
33,24,9,.727,14,3,7,3,2391,2230
29,21,8,.724,15,1,6,7,2099,1823
27,7,20,.259,5,7,1,12,1856,2107
28,13,15,.464,10,5,3,9,1855,1848
35,30,5,.857,17,0,6,3,2785,2435
34,18,16,.529,9,5,6,10,2264,2247
28,14,14,.500,9,4,5,10,2143,2135
27,2,25,.074,1,11,1,14,1977,2470
32,20,12,.625,13,1,5,9,2422,2198
29,17,12,.586,12,5,5,6,1980,1922
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
29,14,15,.483,9,4,4,11,2204,2247
28,14,14,.500,10,4,2,8,2015,2050
29,16,13,.552,9,4,6,9,1859,1819
28,9,19,.321,7,7,2,12,2146,2252
30,6,24,.200,5,12,0,12,1892,2195
30,10,20,.333,8,3,2,10,1979,2022
27,10,17,.370,5,7,4,10,1801,1940
31,18,13,.581,11,3,4,8,2268,2217
29,17,12,.586,13,2,4,10,2105,1953
35,22,13,.629,13,4,6,7,2543,2315
33,26,7,.788,14,0,5,4,2618,2300
29,13,16,.448,8,4,4,10,2034,2043
28,4,24,.143,3,9,1,13,1591,2016
32,26,6,.813,10,1,12,3,2556,2262
31,16,15,.516,13,3,2,10,2205,2094
33,23,10,.697,14,3,6,6,2423,2155
29,10,19,.345,5,10,4,7,2181,2280
33,24,9,.727,12,2,7,6,2197,1979
33,25,8,.758,15,1,7,4,2191,1991
31,20,11,.645,12,1,6,8,2194,2040
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
29,11,18,.379,10,6,0,11,1998,2091
33,21,12,.636,11,1,7,8,2275,2111
31,15,16,.484,9,4,4,8,2225,2177
28,18,10,.643,13,4,5,6,2073,1903
30,10,20,.333,5,7,2,11,1952,2147
29,11,18,.379,8,7,1,10,2036,2124
32,16,16,.500,12,3,2,11,2366,2387
32,21,11,.656,14,1,7,9,2403,2302
31,25,6,.806,17,0,7,4,2412,2102
27,7,20,.259,6,8,0,12,1906,2127
27,10,17,.370,8,7,2,10,1955,2026
32,26,6,.813,13,0,9,4,2385,2164
29,14,15,.483,9,5,2,9,1937,2017
28,9,19,.321,7,6,2,12,2044,2108
28,7,21,.250,5,6,2,13,1882,2123
33,24,9,.727,16,0,5,7,2430,2194
31,20,11,.645,12,2,7,7,2151,1968
30,18,12,.600,12,4,5,7,2157,2115
28,12,16,.429,7,7,5,8,1799,1918
30,20,10,.667,11,3,9,4,2104,1942
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
32,24,8,.750,16,1,6,5,2250,1899
29,14,15,.483,8,4,5,10,2209,2142
28,10,18,.357,10,5,0,12,1907,2026
32,21,11,.656,13,3,6,6,2343,2265
32,26,6,.813,14,1,10,2,2482,2115
27,14,13,.519,5,4,6,9,1872,1785
29,9,20,.310,8,5,1,14,1813,1993
