Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,29,13,3,9,2,16,11,7,7,.448,-0.45,2.14,13,3,9,2,16,11,7,7,13,3,9,2,16,11,7,7,13,3,9,2,16,11,7,7,1786,1798,1170,616,1383,.445,192,569,.337,362,537,.674,178,767,403,194,90,371,491
2,Akron,34,22,13,13,8,12,3,2,8,.647,6.33,0.72,22,13,13,8,12,3,2,8,22,13,13,8,12,3,2,8,22,13,13,8,12,3,2,8,2456,2241,1370,868,1879,.462,207,560,.370,513,741,.692,398,1098,475,247,141,480,616
3,Alabama A&M,28,7,5,6,1,21,13,5,15,.250,-19.33,-10.79,7,5,6,1,21,13,5,15,7,5,6,1,21,13,5,15,7,5,6,1,21,13,5,15,1764,1964,1130,629,1538,.409,147,469,.313,359,555,.647,316,849,314,178,119,463,617
4,Alabama-Birmingham,31,15,9,8,5,16,7,7,7,.484,2.61,3.64,15,9,8,5,16,7,7,7,15,9,8,5,16,7,7,7,15,9,8,5,16,7,7,7,1875,1907,1245,654,1559,.419,179,520,.344,388,566,.686,350,997,352,136,110,439,494
5,Alabama State,31,12,9,7,4,19,9,4,14,.387,-15.79,-9.96,12,9,7,4,19,9,4,14,12,9,7,4,19,9,4,14,12,9,7,4,19,9,4,14,1840,1995,1265,648,1714,.378,190,621,.306,354,606,.584,400,982,357,236,95,470,614
6,Alabama NCAA,33,21,9,12,4,12,7,3,6,.636,13.76,7.18,21,9,12,4,12,7,3,6,21,9,12,4,12,7,3,6,21,9,12,4,12,7,3,6,2135,1918,1330,778,1722,.452,136,470,.289,443,623,.711,352,1066,402,239,137,423,607
7,Albany (NY),34,19,9,10,6,15,7,4,10,.559,-3.92,-6.92,19,9,10,6,15,7,4,10,19,9,10,6,15,7,4,10,19,9,10,6,15,7,4,10,2453,2351,1365,842,1889,.446,245,673,.364,524,694,.755,400,1072,424,193,95,429,578
8,Alcorn State,32,10,6,7,2,22,12,5,14,.313,-19.57,-10.61,10,6,7,2,22,12,5,14,10,6,7,2,22,12,5,14,10,6,7,2,22,12,5,14,1926,2148,1250,689,1669,.413,128,421,.304,420,606,.693,291,872,290,199,104,482,606
9,American,32,20,10,13,7,12,4,2,10,.625,-3.12,-5.24,20,10,13,7,12,4,2,10,20,10,13,7,12,4,2,10,20,10,13,7,12,4,2,10,2059,1991,1285,713,1678,.425,227,576,.394,406,567,.716,281,948,404,146,92,355,544
10,Appalachian State,31,13,7,9,3,18,11,5,11,.419,-6.93,-3.28,13,7,9,3,18,11,5,11,13,7,9,3,18,11,5,11,13,7,9,3,18,11,5,11,2121,2175,1245,746,1693,.441,203,591,.343,426,656,.649,333,1009,379,187,125,444,609
11,Arizona State,31,10,6,7,2,21,12,10,7,.323,-1.01,4.31,10,6,7,2,21,12,10,7,10,6,7,2,21,12,10,7,10,6,7,2,21,12,10,7,1891,2056,1240,654,1439,.454,181,497,.364,402,594,.677,262,898,377,173,123,505,548
12,Arizona,35,23,12,14,6,12,6,4,4,.657,10.91,4.62,23,12,14,6,12,6,4,4,23,12,14,6,12,6,4,4,23,12,14,6,12,6,4,4,2416,2196,1410,795,1812,.439,258,683,.378,568,806,.705,365,1130,473,195,122,446,588
13,Little Rock,31,15,12,9,6,16,4,6,8,.484,-1.94,0.03,15,12,9,6,16,4,6,8,15,12,9,6,16,4,6,8,15,12,9,6,16,4,6,8,1974,1990,1260,672,1655,.406,161,492,.327,469,672,.698,302,928,324,198,94,387,609
14,Arkansas-Pine Bluff,33,11,9,6,3,22,9,3,15,.333,-16.77,-8.34,11,9,6,3,22,9,3,15,11,9,6,3,22,9,3,15,11,9,6,3,22,9,3,15,2013,2291,1325,705,1707,.413,145,484,.300,458,719,.637,364,1003,367,230,132,491,601
15,Arkansas State,34,14,6,10,2,20,10,5,14,.412,-3.18,-0.52,14,6,10,2,20,10,5,14,14,6,10,2,20,10,5,14,14,6,10,2,20,10,5,14,2198,2239,1370,765,1771,.432,176,476,.370,492,737,.668,392,1030,329,210,78,460,533
16,Arkansas,32,18,6,17,1,14,10,3,9,.563,5.76,3.63,18,6,17,1,14,10,3,9,18,6,17,1,14,10,3,9,18,6,17,1,14,10,3,9,2299,2231,1280,808,1860,.434,205,580,.353,478,692,.691,363,971,433,265,159,415,618
17,Army,30,12,5,9,3,18,9,6,11,.400,-11.26,-7.16,12,5,9,3,18,9,6,11,12,5,9,3,18,9,6,11,12,5,9,3,18,9,6,11,2027,2091,1215,678,1608,.422,238,671,.355,433,596,.727,247,860,403,185,54,467,581
18,Auburn,31,15,5,14,1,16,11,3,10,.484,2.52,3.84,15,5,14,1,16,11,3,10,15,5,14,1,16,11,3,10,15,5,14,1,16,11,3,10,1942,1983,1255,696,1669,.417,156,517,.302,394,608,.648,345,985,386,199,149,433,573
