Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
19,Austin Peay,32,12,8,8,4,20,8,5,12,.375,-4.86,-0.66,12,8,8,4,20,8,5,12,12,8,8,4,20,8,5,12,12,8,8,4,20,8,5,12,2216,2324,1290,792,1781,.445,139,433,.321,493,735,.671,388,982,388,230,115,466,574
20,Ball State,30,15,6,10,5,15,10,5,9,.500,-2.93,-4.45,15,6,10,5,15,10,5,9,15,6,10,5,15,10,5,9,15,6,10,5,15,10,5,9,1901,1822,1200,647,1536,.421,191,581,.329,416,604,.689,336,941,400,182,79,388,501
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,Baylor NCAA,38,30,12,14,8,8,6,3,3,.789,16.54,8.03,30,12,14,8,8,6,3,3,30,12,14,8,8,6,3,3,30,12,14,8,8,6,3,3,2839,2483,1525,1004,2148,.467,259,676,.383,572,759,.754,470,1280,570,286,178,522,674
22,Belmont NCAA,35,27,16,13,10,8,2,1,6,.771,11.81,-1.22,27,16,13,10,8,2,1,6,27,16,13,10,8,2,1,6,27,16,13,10,8,2,1,6,2831,2363,1410,975,2026,.481,309,817,.378,572,779,.734,401,1151,606,255,78,430,631
23,Bethune-Cookman,35,18,11,9,5,17,5,3,12,.514,-9.11,-7.05,18,11,9,5,17,5,3,12,18,11,9,5,17,5,3,12,18,11,9,5,17,5,3,12,2276,2319,1405,818,1890,.433,178,522,.341,462,702,.658,414,974,416,241,95,471,663
24,Binghamton,31,2,1,1,0,29,15,13,15,.065,-20.14,-6.24,2,1,1,0,29,15,13,15,2,1,1,0,29,15,13,15,2,1,1,0,29,15,13,15,1762,2193,1245,627,1579,.397,132,437,.302,376,538,.699,278,832,346,187,67,462,554
25,Boise State,30,13,3,11,1,17,11,5,11,.433,3.52,3.14,13,3,11,1,17,11,5,11,13,3,11,1,17,11,5,11,13,3,11,1,17,11,5,11,2050,1988,1205,708,1653,.428,227,664,.342,407,589,.691,328,917,346,183,56,366,544
26,Boston College,31,9,4,8,0,22,12,9,10,.290,-4.54,4.89,9,4,8,0,22,12,9,10,9,4,8,0,22,12,9,10,9,4,8,0,22,12,9,10,1833,2125,1255,629,1543,.408,225,664,.339,350,520,.673,222,836,354,153,89,454,491
27,Boston University,32,16,12,7,8,16,4,5,9,.500,-3.74,-4.09,16,12,7,8,16,4,5,9,16,12,7,8,16,4,5,9,16,12,7,8,16,4,5,9,2045,2034,1285,725,1717,.422,202,634,.319,393,583,.674,351,1012,371,187,98,434,537
28,Bowling Green State,32,16,9,12,4,16,7,4,12,.500,1.23,0.07,16,9,12,4,16,7,4,12,16,9,12,4,16,7,4,12,16,9,12,4,16,7,4,12,2125,2046,1285,823,1795,.458,156,461,.338,323,474,.681,363,984,438,247,103,425,538
29,Bradley,32,7,2,6,1,25,16,10,12,.219,-5.79,3.62,7,2,6,1,25,16,10,12,7,2,6,1,25,16,10,12,7,2,6,1,25,16,10,12,1955,2256,1280,689,1720,.401,151,503,.300,426,625,.682,302,985,343,204,99,438,550
30,Brigham Young NCAA,35,26,12,13,8,9,4,3,3,.743,11.25,1.55,26,12,13,8,9,4,3,3,26,12,13,8,9,4,3,3,26,12,13,8,9,4,3,3,2727,2358,1400,977,2099,.465,233,679,.343,540,771,.700,381,1223,599,296,154,473,637
31,Brown,31,8,2,6,1,23,12,9,12,.258,-12.52,-3.62,8,2,6,1,23,12,9,12,8,2,6,1,23,12,9,12,8,2,6,1,23,12,9,12,1907,2154,1240,685,1695,.404,234,647,.362,303,483,.627,280,928,413,162,79,382,497
32,Bryant,30,2,1,1,0,28,17,10,17,.067,-17.90,-4.27,2,1,1,0,28,17,10,17,2,1,1,0,28,17,10,17,2,1,1,0,28,17,10,17,1852,2261,1205,656,1626,.403,209,690,.303,331,480,.690,293,854,376,133,64,441,552
33,Bucknell,35,25,12,14,11,10,2,3,7,.714,3.57,-3.08,25,12,14,11,10,2,3,7,25,12,14,11,10,2,3,7,25,12,14,11,10,2,3,7,2410,2147,1400,836,1813,.461,206,526,.392,532,687,.774,314,1135,478,152,112,416,595
34,Buffalo,31,20,12,12,8,11,4,2,8,.645,4.15,0.15,20,12,12,8,11,4,2,8,20,12,12,8,11,4,2,8,20,12,12,8,11,4,2,8,2262,2090,1245,806,1734,.465,212,601,.353,438,665,.659,374,1128,511,174,157,465,549
35,Butler,37,22,11,13,7,15,7,6,9,.595,2.86,1.14,22,11,13,7,15,7,6,9,22,11,13,7,15,7,6,9,22,11,13,7,15,7,6,9,2352,2245,1495,823,2014,.409,183,651,.281,523,806,.649,468,1201,454,239,123,485,715
36,Cal Poly,33,18,8,10,5,15,8,4,10,.545,-0.58,-3.78,18,8,10,5,15,8,4,10,18,8,10,5,15,8,4,10,18,8,10,5,15,8,4,10,2136,1998,1320,772,1800,.429,226,642,.352,366,524,.698,407,1033,417,188,51,351,594
37,Cal State Bakersfield,31,16,0,10,6,15,0,3,12,.516,-7.15,-3.65,16,0,10,6,15,0,3,12,16,0,10,6,15,0,3,12,16,0,10,6,15,0,3,12,2121,2154,1245,761,1676,.454,198,542,.365,401,587,.683,352,883,439,248,107,457,614
38,Cal State Fullerton,31,21,12,13,7,10,4,1,7,.677,-1.18,-5.32,21,12,13,7,10,4,1,7,21,12,13,7,10,4,1,7,21,12,13,7,10,4,1,7,2417,2205,1240,833,1763,.472,266,658,.404,485,699,.694,385,1053,464,174,84,476,603
39,Cal State Northridge,28,7,3,4,3,21,13,8,13,.250,-12.65,-2.61,7,3,4,3,21,13,8,13,7,3,4,3,21,13,8,13,7,3,4,3,21,13,8,13,1908,2101,1125,641,1671,.384,170,554,.307,456,604,.755,397,879,375,175,67,384,627
40,UC-Davis,31,5,3,4,1,26,13,8,14,.161,-15.60,-2.63,5,3,4,1,26,13,8,14,5,3,4,1,26,13,8,14,5,3,4,1,26,13,8,14,1924,2307,1240,661,1614,.410,240,650,.369,362,529,.684,278,868,371,151,70,479,574
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
41,UC-Irvine,32,12,6,8,3,20,10,6,11,.375,-6.07,-1.24,12,6,8,3,20,10,6,11,12,6,8,3,20,10,6,11,12,6,8,3,20,10,6,11,2179,2309,1290,776,1861,.417,250,700,.357,377,592,.637,375,1071,493,156,131,489,598
42,UC-Riverside,31,14,7,8,5,17,9,5,9,.452,-8.01,-2.22,14,7,8,5,17,9,5,9,14,7,8,5,17,9,5,9,14,7,8,5,17,9,5,9,1841,1954,1265,684,1669,.410,130,422,.308,343,498,.689,308,933,308,148,123,411,536
43,UC-Santa Barbara,31,20,12,11,7,11,4,3,7,.645,4.00,-1.38,20,12,11,7,11,4,3,7,20,12,11,7,11,4,3,7,20,12,11,7,11,4,3,7,2262,2059,1260,809,1757,.460,227,593,.383,417,601,.694,383,1096,464,172,155,367,539
44,University of California NCAA,34,24,13,17,5,10,5,1,6,.706,13.79,4.53,24,13,17,5,10,5,1,6,24,13,17,5,10,5,1,6,24,13,17,5,10,5,1,6,2419,2104,1360,893,1878,.476,156,430,.363,477,641,.744,341,1095,540,159,106,411,489
45,Campbell,32,17,11,11,6,15,7,2,12,.531,-6.06,-4.80,17,11,11,6,15,7,2,12,17,11,11,6,15,7,2,12,17,11,11,6,15,7,2,12,2370,2361,1285,846,1748,.484,169,452,.374,509,761,.669,329,1044,496,196,167,454,648
46,Canisius,30,5,1,3,2,25,17,10,14,.167,-14.73,-4.53,5,1,3,2,25,17,10,14,5,1,3,2,25,17,10,14,5,1,3,2,25,17,10,14,1965,2271,1210,704,1731,.407,191,580,.329,366,503,.728,371,938,327,192,76,442,539
47,Central Arkansas,29,8,3,6,2,21,13,7,14,.276,-17.26,-4.83,8,3,6,2,21,13,7,14,8,3,6,2,21,13,7,14,8,3,6,2,21,13,7,14,2058,2371,1180,786,1884,.417,150,490,.306,336,605,.555,425,984,426,235,92,445,588
48,Central Connecticut State,29,13,10,10,3,16,8,3,12,.448,-5.36,-5.05,13,10,10,3,16,8,3,12,13,10,10,3,16,8,3,12,13,10,10,3,16,8,3,12,2029,2038,1175,717,1689,.425,180,524,.344,415,547,.759,345,859,393,235,103,424,541
49,Central Florida,33,22,10,16,3,11,6,1,9,.667,4.33,2.98,22,10,16,3,11,6,1,9,22,10,16,3,11,6,1,9,22,10,16,3,11,6,1,9,2166,2096,1320,768,1777,.432,178,592,.301,452,722,.626,423,1083,375,208,142,417,552
50,Central Michigan,32,11,5,6,3,21,11,6,13,.344,-6.74,-1.62,11,5,6,3,21,11,6,13,11,5,6,3,21,11,6,13,11,5,6,3,21,11,6,13,1980,2134,1290,700,1772,.395,203,608,.334,377,594,.635,378,968,329,214,105,393,631
51,Charleston Southern,31,19,11,12,5,12,7,2,10,.613,-2.19,-4.33,19,11,12,5,12,7,2,10,19,11,12,5,12,7,2,10,19,11,12,5,12,7,2,10,2383,2242,1245,835,1866,.447,259,681,.380,454,658,.690,393,996,396,251,82,416,563
52,Charlotte,30,13,5,7,6,17,11,7,10,.433,0.99,2.86,13,5,7,6,17,11,7,10,13,5,7,6,17,11,7,10,13,5,7,6,17,11,7,10,2010,2066,1210,693,1683,.412,192,590,.325,432,656,.659,334,982,392,243,85,421,548
53,Chattanooga,32,11,5,11,0,21,13,6,14,.344,-6.99,-3.54,11,5,11,0,21,13,6,14,11,5,11,0,21,13,6,14,11,5,11,0,21,13,6,14,2260,2204,1295,765,1849,.414,240,723,.332,490,714,.686,377,1147,456,202,36,443,555
54,Chicago State,30,4,2,3,1,26,8,9,17,.133,-19.30,-3.13,4,2,3,1,26,8,9,17,4,2,3,1,26,8,9,17,4,2,3,1,26,8,9,17,1884,2313,1204,688,1732,.397,155,526,.295,353,541,.652,345,944,320,214,99,507,626
55,Cincinnati NCAA,37,26,12,14,7,11,6,4,5,.703,12.93,6.28,26,12,14,7,11,6,4,5,26,12,14,7,11,6,4,5,26,12,14,7,11,6,4,5,2522,2276,1500,924,2194,.421,260,763,.341,414,643,.644,489,1225,479,298,170,403,570
56,Citadel,30,6,3,4,1,24,15,10,12,.200,-14.49,-3.67,6,3,4,1,24,15,10,12,6,3,4,1,24,15,10,12,6,3,4,1,24,15,10,12,1925,2158,1220,704,1610,.437,162,486,.333,355,537,.661,299,870,400,180,50,441,497
57,Clemson,31,16,8,11,4,15,8,5,7,.516,7.31,3.41,16,8,11,4,15,8,5,7,16,8,11,4,15,8,5,7,16,8,11,4,15,8,5,7,2001,1880,1250,736,1701,.433,171,532,.321,358,534,.670,345,946,392,231,117,375,499
58,Cleveland State,33,22,12,10,11,11,6,4,5,.667,5.27,0.12,22,12,10,11,11,6,4,5,22,12,10,11,11,6,4,5,22,12,10,11,11,6,4,5,2177,1983,1320,804,1798,.447,217,599,.362,352,496,.710,371,967,451,279,110,458,693
59,Coastal Carolina,31,19,12,12,7,12,6,4,7,.613,-2.64,-4.56,19,12,12,7,12,6,4,7,19,12,12,7,12,6,4,7,19,12,12,7,12,6,4,7,2248,2042,1250,853,1753,.487,150,440,.341,392,582,.674,357,1089,407,203,120,428,538
60,Colgate,30,8,2,5,3,22,12,8,14,.267,-14.91,-4.38,8,2,5,3,22,12,8,14,8,2,5,3,22,12,8,14,8,2,5,3,22,12,8,14,1893,2209,1210,660,1532,.431,198,515,.384,375,544,.689,250,873,363,111,68,439,570
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
61,College of Charleston,31,19,10,10,7,12,8,4,6,.613,-0.16,-2.54,19,10,10,7,12,8,4,6,19,10,10,7,12,8,4,6,19,10,10,7,12,8,4,6,2191,2117,1260,754,1769,.426,245,725,.338,438,683,.641,345,1007,370,229,115,411,497
62,Colorado State NCAA,32,20,8,14,3,12,6,1,9,.625,6.58,5.23,20,8,14,3,12,6,1,9,20,8,14,3,12,6,1,9,20,8,14,3,12,6,1,9,2243,2177,1295,764,1621,.471,189,473,.400,526,685,.768,266,939,389,172,60,408,606
63,Colorado NCAA,36,24,11,14,4,12,7,2,7,.667,7.91,5.73,24,11,14,4,12,7,2,7,24,11,14,4,12,7,2,7,24,11,14,4,12,7,2,7,2429,2269,1445,835,1874,.446,199,572,.348,560,810,.691,351,1192,422,210,117,468,614
64,Columbia,30,15,4,8,5,15,10,6,9,.500,-2.90,-3.18,15,4,8,5,15,10,6,9,15,4,8,5,15,10,6,9,15,4,8,5,15,10,6,9,1955,1863,1210,683,1586,.431,211,565,.373,378,509,.743,286,943,380,182,70,365,511
65,Connecticut NCAA,34,20,8,13,3,14,10,4,7,.588,12.27,8.07,20,8,13,3,14,10,4,7,20,8,13,3,14,10,4,7,20,8,13,3,14,10,4,7,2336,2193,1375,858,1900,.452,185,557,.332,435,657,.662,415,1151,457,199,233,418,492
66,Coppin State,30,14,9,7,6,16,7,5,9,.467,-9.07,-5.96,14,9,7,6,16,7,5,9,14,9,7,6,16,7,5,9,14,9,7,6,16,7,5,9,2213,2257,1205,756,1749,.432,289,792,.365,412,596,.691,326,924,443,173,53,387,501
67,Cornell,28,12,7,10,2,16,7,3,13,.429,-4.05,-0.98,12,7,10,2,16,7,3,13,12,7,10,2,16,7,3,13,12,7,10,2,16,7,3,13,1833,1898,1140,639,1567,.408,217,636,.341,338,494,.684,256,832,379,218,85,377,558
68,Creighton NCAA,35,29,14,14,10,6,4,2,3,.829,12.92,3.41,29,14,14,10,6,4,2,3,29,14,14,10,6,4,2,3,29,14,14,10,6,4,2,3,2772,2439,1410,975,1935,.504,287,677,.424,535,737,.726,330,1163,616,169,82,421,592
69,Dartmouth,30,5,1,4,1,25,13,9,14,.167,-10.07,-3.56,5,1,4,1,25,13,9,14,5,1,4,1,25,13,9,14,5,1,4,1,25,13,9,14,1727,1904,1205,592,1504,.394,154,463,.333,389,552,.705,272,908,291,163,73,418,557
70,Davidson NCAA,33,25,16,13,8,8,2,2,5,.758,7.26,-1.68,25,16,13,8,8,2,2,5,25,16,13,8,8,2,2,5,25,16,13,8,8,2,2,5,2571,2238,1330,879,1969,.446,255,760,.336,558,731,.763,415,1167,455,184,116,388,673
71,Dayton,33,20,9,14,3,13,7,4,8,.606,8.48,4.30,20,9,14,3,13,7,4,8,20,9,14,3,13,7,4,8,20,9,14,3,13,7,4,8,2369,2231,1340,814,1860,.438,257,750,.343,484,623,.777,407,1083,472,174,89,430,617
72,Delaware State,29,15,12,8,7,14,4,5,8,.517,-8.07,-6.78,15,12,8,7,14,4,5,8,15,12,8,7,14,4,5,8,15,12,8,7,14,4,5,8,1917,1868,1185,694,1596,.435,180,515,.350,349,498,.701,298,778,342,228,192,299,472
73,Delaware,32,18,12,11,6,14,6,3,10,.563,-1.61,-2.18,18,12,11,6,14,6,3,10,18,12,11,6,14,6,3,10,18,12,11,6,14,6,3,10,2206,2188,1305,746,1750,.426,169,543,.311,545,760,.717,326,1080,302,150,160,412,571
74,Denver,31,22,11,14,7,9,5,2,6,.710,6.14,-1.47,22,11,14,7,9,5,2,6,22,11,14,7,9,5,2,6,22,11,14,7,9,5,2,6,2112,1876,1255,728,1494,.487,255,641,.398,401,526,.762,197,745,484,223,137,375,564
75,DePaul,31,12,3,7,3,19,15,9,8,.387,1.99,4.57,12,3,7,3,19,15,9,8,12,3,7,3,19,15,9,8,12,3,7,3,19,15,9,8,2298,2378,1245,857,1956,.438,224,669,.335,360,517,.696,374,917,474,245,126,414,637
76,Detroit Mercy NCAA,36,22,11,13,6,14,7,4,8,.611,2.40,-0.01,22,11,13,6,14,7,4,8,22,11,13,6,14,7,4,8,22,11,13,6,14,7,4,8,2597,2432,1445,903,2008,.450,165,553,.298,626,857,.730,434,1124,463,272,165,450,684
77,Drake,34,18,9,13,3,16,9,3,10,.529,2.44,2.96,18,9,13,3,16,9,3,10,18,9,13,3,16,9,3,10,18,9,13,3,16,9,3,10,2279,2271,1380,788,1794,.439,212,585,.362,491,749,.656,282,1013,350,236,103,440,686
78,Drexel,36,29,16,15,11,7,2,1,3,.806,7.37,-1.80,29,16,15,11,7,2,1,3,29,16,15,11,7,2,1,3,29,16,15,11,7,2,1,3,2350,2020,1440,801,1821,.440,221,584,.378,527,711,.741,386,1169,462,173,118,419,646
79,Duke NCAA,34,27,13,13,8,7,3,3,1,.794,17.05,8.40,27,13,13,8,7,3,3,1,27,13,13,8,7,3,3,1,27,13,13,8,7,3,3,1,2628,2334,1370,874,1915,.456,274,739,.371,606,864,.701,406,1152,423,210,136,415,626
80,Duquesne,31,16,7,9,4,15,9,5,9,.516,4.09,3.96,16,7,9,4,15,9,5,9,16,7,9,4,15,9,5,9,16,7,9,4,15,9,5,9,2252,2232,1245,806,1786,.451,199,594,.335,441,660,.668,325,848,473,240,113,374,541
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
81,East Carolina,31,15,5,10,3,16,11,7,8,.484,2.42,2.53,15,5,10,3,16,11,7,8,15,5,10,3,16,11,7,8,15,5,10,3,16,11,7,8,2136,2019,1250,747,1714,.436,236,676,.349,406,593,.685,337,980,452,241,131,426,558
82,East Tennessee State,31,17,10,10,6,14,8,3,10,.548,-0.41,-1.78,17,10,10,6,14,8,3,10,17,10,10,6,14,8,3,10,17,10,10,6,14,8,3,10,2098,2017,1240,768,1743,.441,128,411,.311,434,684,.635,407,974,323,316,91,419,521
83,Eastern Illinois,29,12,5,7,5,17,11,7,10,.414,-11.48,-6.48,12,5,7,5,17,11,7,10,12,5,7,5,17,11,7,10,12,5,7,5,17,11,7,10,1896,1984,1175,688,1579,.436,147,430,.342,373,493,.757,304,833,383,165,67,380,500
84,Eastern Kentucky,32,16,7,11,4,16,9,3,11,.500,-8.47,-5.93,16,7,11,4,16,9,3,11,16,7,11,4,16,9,3,11,16,7,11,4,16,9,3,11,2123,2117,1300,744,1715,.434,231,681,.339,404,551,.733,289,845,378,239,59,346,629
85,Eastern Michigan,32,14,9,9,5,18,7,4,13,.438,-7.90,-1.68,14,9,9,5,18,7,4,13,14,9,9,5,18,7,4,13,14,9,9,5,18,7,4,13,1704,1878,1290,583,1555,.375,153,500,.306,385,556,.692,339,879,310,227,98,438,549
86,Eastern Washington,32,15,8,9,6,17,8,4,13,.469,-3.87,-3.23,15,8,9,6,17,8,4,13,15,8,9,6,17,8,4,13,15,8,9,6,17,8,4,13,2326,2284,1285,788,1914,.412,283,793,.357,467,659,.709,383,992,390,228,114,377,723
87,Elon,31,15,9,10,4,16,9,4,11,.484,-7.41,-3.03,15,9,10,4,16,9,4,11,15,9,10,4,16,9,4,11,15,9,10,4,16,9,4,11,2175,2226,1255,770,1831,.421,238,671,.355,397,589,.674,326,1032,407,149,83,429,570
88,Evansville,32,16,9,11,4,16,9,7,8,.500,3.46,3.56,16,9,11,4,16,9,7,8,16,9,11,4,16,9,7,8,16,9,11,4,16,9,7,8,2351,2327,1315,801,1738,.461,177,453,.391,572,749,.764,279,832,509,243,54,404,680
89,Fairfield,37,22,12,12,5,15,6,4,8,.595,2.94,-1.34,22,12,12,5,15,6,4,8,22,12,12,5,15,6,4,8,22,12,12,5,15,6,4,8,2417,2259,1480,884,1973,.448,229,662,.346,420,645,.651,416,1126,553,309,151,540,677
90,Fairleigh Dickinson,29,3,2,2,1,26,16,11,15,.103,-16.99,-5.06,3,2,2,1,26,16,11,15,3,2,2,1,26,16,11,15,3,2,2,1,26,16,11,15,1762,2108,1160,655,1589,.412,109,393,.277,343,520,.660,302,874,322,167,110,440,544
91,Florida A&M,33,10,6,5,3,23,10,8,12,.303,-15.58,-6.29,10,6,5,3,23,10,8,12,10,6,5,3,23,10,8,12,10,6,5,3,23,10,8,12,2175,2416,1330,820,2019,.406,183,569,.322,352,572,.615,479,1072,344,269,145,520,671
92,Florida Atlantic,30,11,7,6,4,19,9,5,11,.367,-2.58,0.77,11,7,6,4,19,9,5,11,11,7,6,4,19,9,5,11,11,7,6,4,19,9,5,11,1977,2046,1230,718,1738,.413,208,613,.339,333,502,.663,358,901,382,201,128,366,574
