G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,13,18,.419,10,6,2,11,1908,2034,634,1589,.399,214,623,.343,426,602,.708,991,329,157,42,388,579
32,21,11,.656,15,0,3,8,2246,1976,783,1755,.446,252,661,.381,428,603,.710,1082,424,206,140,396,657
30,2,28,.067,1,10,1,15,1758,2096,646,1583,.408,110,540,.204,356,617,.577,1047,308,180,143,536,611
31,15,16,.484,12,5,3,9,1972,2027,696,1705,.408,203,627,.324,377,540,.698,1118,362,141,106,458,510
31,17,14,.548,14,2,2,9,2121,2035,739,1684,.439,195,540,.361,448,602,.744,1027,451,211,102,417,562
29,12,17,.414,8,5,4,12,1982,2029,700,1565,.447,227,602,.377,355,522,.680,906,445,198,93,421,562
30,15,15,.500,8,4,4,6,2039,2026,679,1618,.420,217,577,.376,464,615,.754,1007,340,189,80,399,527
35,21,14,.600,8,2,8,10,2490,2572,878,2107,.417,194,620,.313,540,759,.711,1250,469,289,107,537,724
30,9,21,.300,6,7,2,12,1999,2146,731,1696,.431,174,547,.318,363,539,.673,1037,416,216,89,422,596
29,15,14,.517,12,1,3,12,2125,2189,759,1735,.437,175,546,.321,432,607,.712,1040,409,252,98,481,596
30,7,23,.233,4,10,2,11,1919,2178,674,1546,.436,166,493,.337,405,606,.668,902,348,181,63,420,613
35,23,12,.657,14,3,6,8,2467,2278,841,1956,.430,223,670,.333,562,817,.688,1250,545,206,129,478,654
38,33,5,.868,16,2,8,2,2978,2344,1106,2241,.494,231,584,.396,535,811,.660,1507,651,350,246,539,718
31,13,18,.419,8,5,2,12,2106,2170,757,1914,.396,193,698,.277,399,619,.645,1110,414,307,98,425,585
32,21,11,.656,11,2,7,8,2195,1998,809,1777,.455,189,562,.336,388,604,.642,1076,463,261,106,440,595
34,22,12,.647,14,2,4,6,2496,2302,890,1868,.476,231,650,.355,485,690,.703,1235,537,201,161,493,547
30,10,20,.333,6,12,3,7,2150,2241,771,1683,.458,163,461,.354,445,648,.687,1088,427,190,60,478,561
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
30,9,21,.300,5,8,4,11,1938,2210,634,1486,.427,256,713,.359,414,572,.724,813,410,219,74,511,596
32,15,17,.469,11,3,2,12,2367,2438,815,1859,.438,266,702,.379,471,730,.645,1228,554,187,90,534,600
31,12,19,.387,9,5,3,12,1981,1984,681,1590,.428,169,486,.348,450,638,.705,1046,375,196,83,464,620
31,14,17,.452,11,4,3,11,2369,2298,895,1862,.481,158,467,.338,421,598,.704,1178,471,210,86,469,645
31,18,13,.581,13,1,4,12,2101,2017,717,1730,.414,238,750,.317,429,609,.704,1048,412,221,80,369,586
32,24,8,.750,12,1,9,5,2575,2408,906,1994,.454,273,728,.375,490,698,.702,1171,454,237,91,445,560
29,10,19,.345,6,7,4,12,2006,2118,676,1656,.408,215,659,.326,439,655,.670,1040,321,168,56,423,557
31,9,22,.290,6,6,1,16,2012,2292,720,1787,.403,159,526,.302,413,588,.702,1071,406,229,125,515,558
30,9,21,.300,7,7,2,14,2013,2180,727,1728,.421,149,494,.302,410,620,.661,1103,343,162,86,446,572
32,18,14,.563,14,0,2,13,2305,2317,790,1874,.422,287,798,.360,438,614,.713,1129,414,202,60,459,553
32,17,15,.531,14,4,1,9,2177,2007,800,1774,.451,174,517,.337,403,572,.705,1205,445,218,155,452,493
30,10,20,.333,7,4,3,14,1922,2081,728,1794,.406,158,525,.301,308,493,.625,1086,355,208,97,432,619
34,24,10,.706,16,4,6,2,2433,2144,845,1946,.434,250,751,.333,493,727,.678,1249,495,251,144,434,698
32,21,11,.656,12,4,6,6,2237,2075,774,1710,.453,170,498,.341,519,713,.728,1146,375,171,115,421,533
31,13,18,.419,8,5,4,12,2030,2228,730,1812,.403,153,470,.326,417,609,.685,1069,462,213,58,508,591
31,18,13,.581,8,4,9,7,2213,2148,764,1652,.462,232,603,.385,453,638,.710,1038,438,196,105,441,651
30,12,18,.400,5,6,7,9,1961,2025,711,1685,.422,197,587,.336,342,511,.669,1024,363,235,98,399,518
30,13,17,.433,7,7,6,9,1978,2076,704,1666,.423,124,429,.289,446,632,.706,1031,334,235,109,428,635
34,25,9,.735,13,1,9,6,2548,2337,888,1971,.451,312,879,.355,460,674,.682,1255,514,189,74,441,628
34,24,10,.706,16,4,6,4,2443,2207,851,1951,.436,217,651,.333,524,783,.669,1251,475,295,115,496,691
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
32,13,19,.406,9,5,3,10,2112,2247,728,1816,.401,191,651,.293,465,713,.652,1187,399,213,138,493,627
31,12,19,.387,6,6,5,12,1875,2016,692,1637,.423,165,507,.325,326,445,.733,962,381,164,91,395,513
31,4,27,.129,1,12,2,13,1880,2278,672,1734,.388,171,555,.308,365,579,.630,981,287,205,58,483,578
34,25,9,.735,17,3,6,4,2685,2295,971,2032,.478,196,509,.385,547,787,.695,1325,587,253,233,544,612
33,24,9,.727,12,2,9,6,2551,2270,926,1941,.477,197,577,.341,502,808,.621,1334,522,226,246,531,696
32,15,17,.469,10,3,4,11,2028,2154,747,1839,.406,127,431,.295,407,621,.655,1222,361,230,158,524,601
37,33,4,.892,19,0,9,2,2918,2333,1024,2249,.455,278,792,.351,592,953,.621,1468,537,344,217,493,732
30,13,17,.433,9,5,4,11,2177,2329,762,1739,.438,169,549,.308,484,679,.713,1145,382,194,138,529,498
32,12,20,.375,8,7,3,9,2279,2332,833,1916,.435,208,588,.354,405,577,.702,1124,398,202,93,405,624
33,18,15,.545,11,2,3,11,1962,1895,720,1565,.460,169,508,.333,353,498,.709,998,421,187,135,434,560
35,23,12,.657,18,1,2,8,2276,2001,806,1718,.469,182,486,.374,482,671,.718,1217,560,180,162,521,652
35,22,13,.629,18,3,3,9,2249,2116,791,1779,.445,170,495,.343,497,683,.728,1231,478,190,200,520,587
