G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
34,21,13,.618,12,4,5,8,2422,2269,1380,862,1900,.454,225,663,.339,473,672,.704,393,1192,432,218,100,441,580
33,18,15,.545,12,3,3,10,2287,2195,1320,778,1813,.429,190,590,.322,541,739,.732,423,1214,413,231,89,449,623
35,25,10,.714,17,1,5,7,2427,2162,1405,837,1873,.447,228,638,.357,525,704,.746,393,1208,498,237,104,458,691
33,22,11,.667,10,3,10,7,2213,2129,1340,735,1732,.424,295,841,.351,448,640,.700,335,1134,463,177,84,357,536
29,12,17,.414,8,5,4,10,1806,2005,1160,648,1624,.399,149,503,.296,361,615,.587,393,1066,330,195,97,503,546
33,19,14,.576,12,2,6,11,2042,2025,1330,735,1934,.380,124,500,.248,448,696,.644,450,1276,346,283,135,402,622
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
33,24,9,.727,16,1,5,5,2214,1878,1330,776,1750,.443,246,690,.357,416,568,.732,320,1056,412,187,113,289,537
35,26,9,.743,11,1,10,6,2408,2134,1405,825,1873,.440,203,580,.350,555,830,.669,402,1243,469,242,74,416,621
32,20,12,.625,12,1,5,11,2163,1950,1285,750,1692,.443,240,656,.366,423,577,.733,324,964,433,190,63,375,605
31,10,21,.323,9,9,0,11,2190,2309,1245,734,1674,.438,140,525,.267,582,864,.674,313,1047,346,241,132,479,634
35,26,9,.743,15,0,7,5,2793,2433,1445,961,2082,.462,250,664,.377,621,873,.711,444,1415,494,235,132,452,662
31,12,19,.387,6,6,4,10,2067,2157,1245,711,1687,.421,138,466,.296,507,700,.724,359,1086,387,212,134,442,572
30,8,22,.267,6,9,2,13,2002,2092,1205,697,1656,.421,153,479,.319,455,665,.684,338,986,390,181,110,401,611
