G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
35,23,12,.657,17,3,3,6,2635,2393,1415,918,1953,.470,261,673,.388,538,744,.723,402,1250,585,194,104,362,530
35,26,9,.743,13,1,10,7,2676,2504,1400,920,2053,.448,206,640,.322,630,876,.719,477,1344,461,236,169,485,632
37,29,8,.784,17,1,6,5,2740,2274,1490,983,1999,.492,276,708,.390,498,716,.696,325,1234,545,262,157,413,565
37,22,15,.595,13,4,5,9,2763,2569,1510,925,2153,.430,278,759,.366,635,883,.719,443,1371,524,278,97,473,696
33,22,11,.667,15,1,3,7,2437,2243,1325,839,1861,.451,274,784,.349,485,679,.714,327,1169,413,214,84,418,664
31,13,18,.419,11,4,1,10,2235,2283,1250,766,1782,.430,252,721,.350,451,606,.744,324,1066,391,180,84,382,505
36,27,9,.750,15,0,9,6,2415,2069,1445,922,2061,.447,166,523,.317,405,625,.648,540,1394,554,282,105,457,560
33,20,13,.606,10,3,8,8,2313,2182,1335,826,1865,.443,153,484,.316,508,745,.682,406,1272,396,205,149,450,595
32,14,18,.438,9,7,4,9,1929,1989,1280,670,1556,.431,140,475,.295,449,665,.675,321,1019,365,261,63,479,528
32,16,16,.500,11,8,4,7,2237,2247,1300,803,1869,.430,185,545,.339,446,624,.715,395,1094,355,220,94,408,606
35,23,12,.657,11,4,12,7,2297,2133,1410,820,1862,.440,226,657,.344,431,662,.651,381,1215,435,192,87,393,605
31,11,20,.355,7,9,3,8,2013,2005,1245,711,1632,.436,208,607,.343,383,542,.707,301,1055,410,143,54,360,503
28,6,22,.214,3,10,3,12,1751,2031,1130,596,1440,.414,183,577,.317,376,502,.749,263,853,376,147,54,420,535
31,7,24,.226,5,11,0,12,2044,2316,1255,693,1760,.394,194,569,.341,464,659,.704,394,1122,342,152,75,423,599
34,25,9,.735,17,1,5,4,2336,2101,1390,809,1811,.447,181,526,.344,537,775,.693,420,1269,536,177,139,421,594
32,13,19,.406,8,4,5,12,2496,2536,1295,888,1862,.477,258,690,.374,462,644,.717,356,1019,424,201,127,431,596
32,21,11,.656,13,2,5,7,2306,2117,1290,798,1720,.464,253,622,.407,457,622,.735,340,1068,472,207,53,420,504
30,16,14,.533,11,3,5,10,1930,1865,1210,682,1723,.396,180,605,.298,386,629,.614,364,1128,392,240,124,427,527
31,5,26,.161,3,7,1,18,1873,2267,1265,694,1631,.426,172,522,.330,313,450,.696,239,926,345,178,70,482,504
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
31,22,9,.710,11,3,11,6,1871,1652,1250,660,1497,.441,204,568,.359,347,483,.718,275,951,363,238,101,407,523
31,12,19,.387,8,9,4,9,2554,2547,1245,913,2104,.434,249,754,.330,479,714,.671,535,1253,443,248,136,394,615
35,29,6,.829,15,3,8,2,2467,2144,1405,867,1957,.443,187,588,.318,546,755,.723,351,1170,493,248,162,381,651
33,23,10,.697,14,1,8,9,2415,2194,1320,862,1926,.448,133,392,.339,558,774,.721,482,1333,443,232,71,452,627
31,19,12,.613,13,3,6,8,2217,2127,1255,819,1847,.443,138,460,.300,441,744,.593,442,1340,503,182,115,467,495
36,26,10,.722,15,2,9,6,2737,2528,1450,991,2227,.445,235,705,.333,520,745,.698,477,1258,533,294,182,394,595
31,8,23,.258,7,10,1,13,1983,2161,1245,703,1739,.404,164,532,.308,413,638,.647,382,1097,369,229,82,436,615
35,26,9,.743,14,1,7,6,2427,2196,1430,868,1943,.447,250,704,.355,441,630,.700,304,1139,442,289,158,384,634
33,17,16,.515,7,6,8,9,2295,2362,1335,811,1914,.424,218,646,.337,455,661,.688,345,1150,411,225,101,425,582
35,23,12,.657,12,3,10,7,2399,2306,1405,815,1868,.436,197,546,.361,572,859,.666,412,1227,433,267,80,520,757
32,15,17,.469,13,6,1,9,2160,2295,1285,767,1810,.424,211,635,.332,415,623,.666,381,1146,438,186,227,466,517
30,9,21,.300,5,8,4,12,1935,2140,1200,671,1632,.411,176,507,.347,417,583,.715,266,970,385,216,85,412,563
29,14,15,.483,9,4,4,11,2087,2123,1165,770,1743,.442,252,635,.397,295,477,.618,389,1077,426,201,101,462,550
30,11,19,.367,9,5,2,14,1875,2104,1205,633,1523,.416,203,551,.368,406,555,.732,299,922,386,174,76,476,603
31,11,20,.355,8,5,2,12,2141,2330,1250,731,1775,.412,191,637,.300,488,687,.710,299,1001,406,226,108,407,553
36,23,13,.639,18,4,5,6,2283,2168,1480,826,1882,.439,215,674,.319,416,672,.619,333,1206,454,204,169,478,615
34,28,6,.824,14,2,9,2,2668,2258,1365,944,1950,.484,284,699,.406,496,652,.761,370,1244,543,168,176,394,560
30,16,14,.533,7,7,9,6,1863,1808,1220,661,1660,.398,152,479,.317,389,586,.664,428,1169,311,227,132,489,591
33,25,8,.758,13,1,7,6,2616,2284,1330,909,1963,.463,287,775,.370,511,727,.703,410,1247,673,257,85,442,661
31,11,20,.355,7,7,4,10,1789,1881,1240,620,1365,.454,247,696,.355,302,453,.667,192,867,405,162,53,399,443
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
34,25,9,.735,14,1,9,7,2389,2101,1375,875,1846,.474,179,564,.317,460,741,.621,444,1257,458,251,156,453,552
32,11,21,.344,5,9,3,8,1996,2119,1290,680,1652,.412,220,616,.357,416,584,.712,298,972,367,213,96,429,585
30,12,18,.400,9,4,3,10,2116,2186,1225,723,1618,.447,171,483,.354,499,727,.686,329,1076,369,161,59,441,544
31,14,17,.452,10,4,4,12,2289,2342,1245,796,1748,.455,202,509,.397,495,680,.728,358,1090,416,145,81,392,521
32,11,21,.344,6,12,5,8,2049,2225,1285,696,1692,.411,149,498,.299,508,743,.684,376,1091,316,232,121,493,634
26,11,15,.423,8,3,2,11,1528,1604,1045,564,1329,.424,112,370,.303,288,443,.650,292,852,303,194,74,418,476
31,17,14,.548,10,3,6,10,2489,2488,1245,881,1987,.443,164,492,.333,563,872,.646,465,1244,376,288,59,549,727
32,19,13,.594,13,5,5,6,2563,2414,1300,938,2107,.445,209,627,.333,478,701,.682,456,1240,487,236,168,342,602
34,27,7,.794,17,0,9,5,2554,2226,1370,930,2048,.454,160,498,.321,534,793,.673,442,1310,486,298,119,418,471
32,17,15,.531,9,6,6,8,2124,2177,1300,739,1771,.417,160,464,.345,486,685,.709,395,1163,374,193,114,462,588
