G,W,L,W-L%,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK
30,10,20,.333,2.46,9.98,1981,2183,728,1767,.412,160,468,.342,365,551,.662,1053,399,200,116
28,18,10,.643,1.98,0.46,2165,2056,724,1569,.461,177,491,.360,540,718,.752,984,434,201,66
28,14,14,.500,3.65,5.00,1974,2012,736,1634,.450,152,460,.330,350,536,.653,1046,433,203,123
28,14,14,.500,-10.42,-4.94,2153,2248,813,1797,.452,167,520,.321,360,518,.695,1021,446,242,69
30,8,22,.267,-9.75,-2.68,1975,2123,716,1640,.437,210,567,.370,333,488,.682,1062,482,201,49
29,11,18,.379,-4.00,-1.45,1995,2069,728,1642,.443,169,499,.339,370,558,.663,1112,384,153,119
28,10,18,.357,-3.38,1.87,2044,2191,715,1682,.425,159,503,.316,455,668,.681,1003,360,194,70
29,12,17,.414,0.56,1.92,1925,1954,648,1593,.407,190,591,.321,439,621,.707,1014,407,241,58
28,11,17,.393,-5.55,-0.92,1922,1994,678,1593,.426,188,537,.350,378,535,.707,990,394,163,122
30,21,9,.700,-1.04,-7.41,2193,1941,733,1719,.426,251,702,.358,476,717,.664,1171,406,215,104
36,22,14,.611,16.67,12.50,2157,2007,765,1793,.427,207,602,.344,420,617,.681,1107,478,236,102
30,14,16,.467,-7.64,-2.89,2078,2184,721,1756,.411,214,634,.338,422,623,.677,1060,383,184,91
28,11,17,.393,-5.22,-0.15,1717,1859,567,1309,.433,139,419,.332,444,603,.736,881,328,171,53
31,19,12,.613,6.88,2.84,2567,2401,916,2085,.439,222,635,.350,513,727,.706,1260,501,249,102
33,21,12,.636,9.36,3.42,2481,2285,856,1979,.433,220,627,.351,549,773,.710,1260,474,261,118
27,7,20,.259,-15.73,-8.47,1585,1781,563,1436,.392,103,372,.277,356,530,.672,963,267,160,83
28,12,16,.429,-8.07,-3.66,1876,1974,696,1593,.437,154,479,.322,330,484,.682,1039,410,198,94
