G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,10,21,.323,7,10,1,9,1821,1936,611,1389,.440,206,546,.377,393,583,.674,879,378,155,70,407,542
36,23,13,.639,11,3,8,8,2403,2171,823,1969,.418,258,776,.332,499,705,.708,1199,446,270,80,490,745
27,8,19,.296,6,7,2,11,1761,1954,608,1566,.388,121,454,.267,424,638,.665,948,298,224,90,448,549
34,22,12,.647,13,1,7,8,2461,2244,880,1935,.455,228,676,.337,473,669,.707,1169,430,224,69,387,568
32,22,10,.688,10,1,8,7,2202,2025,816,1752,.466,181,550,.329,389,614,.634,1130,445,182,153,435,558
32,18,14,.563,13,5,2,7,2349,2254,845,1913,.442,157,479,.328,502,711,.706,1264,357,235,144,464,546
31,15,16,.484,10,4,5,12,1984,2038,715,1713,.417,130,442,.294,424,590,.719,1206,367,160,63,474,626
31,6,25,.194,5,7,1,15,2156,2588,742,1901,.390,187,571,.327,485,709,.684,992,309,257,55,455,609
32,24,8,.750,13,1,11,6,2065,1891,751,1614,.465,230,615,.374,333,514,.648,1046,421,176,79,422,581
31,13,18,.419,7,7,5,9,2356,2381,799,1768,.452,239,642,.372,519,733,.708,1220,407,187,106,542,626
35,25,10,.714,12,3,6,4,2428,2117,825,1718,.480,288,778,.370,490,665,.737,1085,544,201,72,401,557
35,21,14,.600,14,3,2,9,2529,2421,897,1892,.474,212,548,.387,523,709,.738,1183,500,217,104,442,548
31,23,8,.742,11,4,11,3,2059,1964,711,1589,.447,159,445,.357,478,714,.669,1079,404,171,108,465,608
31,13,18,.419,6,3,6,14,1943,2190,709,1768,.401,124,431,.288,401,649,.618,1179,339,271,84,605,705
30,13,17,.433,9,5,4,12,1996,1948,731,1685,.434,144,442,.326,390,571,.683,1094,402,201,109,408,501
30,14,16,.467,12,6,1,9,2238,2213,797,1821,.438,202,608,.332,442,679,.651,1129,390,227,86,419,521
30,11,19,.367,7,7,4,12,1741,1823,644,1533,.420,144,427,.337,309,448,.690,876,396,224,75,459,579
36,24,12,.667,18,4,5,5,2620,2354,928,2116,.439,278,832,.334,486,802,.606,1323,507,327,123,470,674
33,19,14,.576,9,5,9,7,2485,2449,885,1877,.471,225,616,.365,490,712,.688,1121,486,224,105,446,610
31,14,17,.452,10,6,3,10,1795,1852,646,1572,.411,134,395,.339,369,604,.611,1071,333,158,63,406,572
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
39,24,15,.615,14,5,4,7,2965,2732,1024,2191,.467,320,876,.365,597,838,.712,1332,484,282,146,501,717
33,20,13,.606,12,3,8,9,2528,2334,869,1961,.443,336,950,.354,454,664,.684,1186,549,261,84,479,638
33,17,16,.515,8,4,7,10,1926,1941,685,1725,.397,136,489,.278,420,665,.632,1163,307,222,92,474,643
32,23,9,.719,12,2,9,6,2239,2156,778,1764,.441,192,575,.334,491,733,.670,1101,383,227,134,431,652
32,19,13,.594,13,3,6,9,2329,2315,875,1849,.473,200,584,.342,379,544,.697,1097,510,200,117,476,576
34,22,12,.647,15,4,5,5,2528,2397,885,2000,.443,217,649,.334,541,733,.738,1259,503,208,147,457,614
30,17,13,.567,9,6,8,6,2058,1989,698,1646,.424,267,740,.361,395,578,.683,1039,380,202,97,408,513
33,19,14,.576,10,4,6,9,2126,2020,775,1796,.432,206,583,.353,370,548,.675,1186,415,221,120,427,569
36,21,15,.583,14,4,5,9,2415,2387,806,1833,.440,216,658,.328,587,816,.719,1160,453,282,125,521,648
33,25,8,.758,14,2,9,3,2544,2150,909,1879,.484,238,624,.381,488,669,.729,1196,537,241,119,375,607
28,9,19,.321,8,5,1,14,1712,1898,599,1406,.426,163,514,.317,351,533,.659,914,373,129,84,403,425
29,8,21,.276,4,7,3,14,1670,1969,581,1479,.393,207,629,.329,301,455,.662,847,351,172,71,389,514
30,7,23,.233,6,8,1,15,1928,2152,679,1767,.384,212,618,.343,358,528,.678,1124,338,145,75,425,601
33,21,12,.636,9,4,7,7,2155,2078,778,1864,.417,174,506,.344,425,659,.645,1215,406,215,91,466,608
32,26,6,.813,15,2,11,3,2168,1854,705,1609,.438,257,731,.352,501,692,.724,1094,417,193,102,400,568
28,7,21,.250,3,12,3,8,1822,1964,645,1591,.405,189,560,.338,343,487,.704,929,300,165,80,327,429
29,8,21,.276,5,7,3,14,1875,2094,646,1644,.393,185,582,.318,398,587,.678,950,307,158,66,382,532
32,15,17,.469,7,6,7,7,2345,2356,824,1890,.436,259,753,.344,438,614,.713,1074,421,212,115,422,592
31,17,14,.548,10,2,5,11,2282,2178,821,1808,.454,215,609,.353,425,611,.696,1150,430,276,83,549,683
32,13,19,.406,5,8,6,9,2338,2372,793,1720,.461,244,674,.362,508,652,.779,1009,498,196,70,456,618
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,12,19,.387,6,7,5,10,2028,2134,708,1658,.427,215,534,.403,397,524,.758,937,389,153,56,358,567
30,17,13,.567,11,2,6,10,1806,1818,653,1540,.424,175,464,.377,325,476,.683,991,364,202,50,407,517
31,16,15,.516,10,4,3,10,2030,2021,712,1595,.446,163,488,.334,443,638,.694,1015,393,216,79,485,589
33,22,11,.667,16,2,6,6,2472,2271,892,1848,.483,210,492,.427,478,633,.755,1113,509,159,66,399,560
30,14,16,.467,10,4,4,10,2164,2153,744,1722,.432,178,502,.355,498,701,.710,1104,472,250,76,497,624
31,11,20,.355,5,8,5,12,1949,2097,714,1747,.409,156,544,.287,365,593,.616,1170,375,160,141,509,638
31,8,23,.258,4,5,2,15,1993,2207,694,1722,.403,232,673,.345,373,549,.679,924,372,276,82,425,680
29,10,19,.345,8,8,1,10,1841,2008,627,1567,.400,160,491,.326,427,646,.661,1007,319,161,93,395,535
30,13,17,.433,8,5,5,12,1943,2043,719,1606,.448,125,396,.316,380,528,.720,970,390,184,82,429,440
31,17,14,.548,13,3,3,8,2222,2166,784,1756,.446,222,638,.348,432,578,.747,1072,478,213,88,445,612
31,12,19,.387,8,6,3,11,1928,2018,680,1628,.418,180,536,.336,388,615,.631,981,306,244,79,447,696
29,9,20,.310,7,9,2,10,2000,2091,752,1721,.437,195,583,.334,301,476,.632,1100,388,177,92,396,516
31,11,20,.355,9,6,2,11,2130,2182,752,1832,.410,216,707,.306,410,601,.682,1095,422,200,103,406,578
35,18,17,.514,13,3,5,10,2657,2687,877,2002,.438,289,821,.352,614,935,.657,1374,477,218,79,551,648
