G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
32,19,13,.594,11,3,6,9,2693,2577,956,2077,.460,253,730,.347,528,773,.683,1220,507,321,123,486,668
32,18,14,.563,14,5,4,7,2187,2123,792,1869,.424,233,702,.332,370,563,.657,1205,466,183,103,436,588
33,20,13,.606,10,5,9,6,2206,2134,780,1738,.449,213,627,.340,433,605,.716,1099,376,172,56,419,564
32,23,9,.719,13,3,7,5,2507,2177,912,1971,.463,256,684,.374,427,621,.688,1189,478,298,187,456,575
37,26,11,.703,13,2,8,8,2455,2203,882,2043,.432,180,578,.311,511,729,.701,1267,512,320,118,454,680
31,11,20,.355,8,6,2,13,2148,2193,786,1770,.444,220,656,.335,356,578,.616,1140,455,207,95,500,525
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
30,10,20,.333,4,7,6,13,1701,1895,590,1466,.402,148,467,.317,373,556,.671,945,310,135,99,441,508
36,27,9,.750,12,4,11,5,2781,2616,1014,2150,.472,300,785,.382,453,687,.659,1281,486,243,149,452,581
31,9,22,.290,6,9,2,11,2142,2300,737,1722,.428,193,542,.356,475,663,.716,1022,339,180,74,425,601
31,9,22,.290,8,9,0,10,1951,2091,675,1486,.454,172,497,.346,429,587,.731,855,356,185,50,436,574
28,12,16,.429,9,6,3,9,1689,1740,602,1490,.404,138,435,.317,347,519,.669,955,324,184,54,395,525
36,31,5,.861,14,2,9,1,2819,2313,996,2102,.474,165,484,.341,662,976,.678,1559,567,209,280,458,471
32,13,19,.406,7,2,4,14,2043,2161,729,1767,.413,185,534,.346,400,555,.721,993,307,252,45,404,529
31,21,10,.677,14,0,5,8,2281,2007,821,1736,.473,241,587,.411,398,545,.730,1105,482,203,121,398,556
35,27,8,.771,16,3,8,4,2565,2293,857,1929,.444,276,727,.380,575,768,.749,1140,493,287,138,428,658
28,9,19,.321,6,9,3,9,1750,1897,642,1560,.412,146,427,.342,320,486,.658,920,272,185,122,389,559
35,27,8,.771,12,3,11,3,2724,2306,957,2194,.436,305,859,.355,505,722,.699,1357,492,285,113,439,715
35,27,8,.771,18,0,5,5,2339,2150,831,1972,.421,190,579,.328,487,752,.648,1328,485,227,124,476,672
32,8,24,.250,5,6,3,14,1847,2098,683,1615,.423,185,546,.339,296,454,.652,979,314,165,123,489,516
32,13,19,.406,8,7,3,11,2174,2244,735,1778,.413,231,696,.332,473,673,.703,1089,419,180,92,416,583
31,15,16,.484,12,3,2,12,1884,1872,642,1339,.479,243,645,.377,357,484,.738,739,422,160,63,406,645
33,9,24,.273,6,10,1,11,2123,2390,780,1920,.406,188,635,.296,375,609,.616,1144,373,223,102,414,501
30,7,23,.233,4,8,3,15,1694,1937,610,1464,.417,96,348,.276,378,585,.646,931,310,196,89,504,622
33,17,16,.515,12,7,4,7,2128,2063,687,1649,.417,266,765,.348,488,648,.753,1079,382,208,73,421,515
29,15,14,.517,8,5,7,8,1788,1774,609,1635,.372,142,484,.293,428,637,.672,1159,323,142,111,367,578
37,30,7,.811,16,1,6,5,2867,2439,971,2186,.444,267,766,.349,658,904,.728,1348,492,311,146,454,671
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
34,21,13,.618,10,5,8,7,2683,2541,935,1987,.471,296,825,.359,517,743,.696,1135,564,257,116,465,594
30,13,17,.433,10,6,3,10,2176,2214,736,1666,.442,261,689,.379,443,605,.732,1018,441,169,88,367,506
34,23,11,.676,11,2,9,6,2657,2383,944,2044,.462,195,590,.331,574,810,.709,1290,429,287,131,477,622
30,12,18,.400,9,5,3,13,1936,1982,706,1599,.442,154,428,.360,370,515,.718,1024,386,149,57,387,527
31,18,13,.581,12,2,5,11,2247,2061,798,1707,.467,320,798,.401,331,478,.692,922,490,240,58,338,498
32,8,24,.250,5,9,3,12,1834,2040,666,1656,.402,154,507,.304,348,574,.606,1102,366,194,114,503,539
30,12,18,.400,9,5,3,13,1905,2055,689,1647,.418,165,509,.324,362,524,.691,964,352,174,64,380,575
31,11,20,.355,8,6,2,14,2041,2197,747,1712,.436,185,532,.348,362,561,.645,1008,424,223,104,434,564
31,17,14,.548,15,4,2,9,2081,2038,733,1642,.446,99,311,.318,516,744,.694,1041,456,183,41,408,619
32,17,15,.531,9,4,6,9,2093,2152,739,1756,.421,200,601,.333,415,632,.657,1104,427,205,118,429,569
30,7,23,.233,4,9,3,14,1909,2282,675,1614,.418,123,438,.281,436,685,.636,963,335,175,131,511,517
31,10,21,.323,7,3,1,16,1899,2228,669,1724,.388,210,654,.321,351,564,.622,961,333,215,66,432,591
32,6,26,.188,5,7,0,18,2079,2319,736,1777,.414,173,532,.325,434,587,.739,1069,391,143,104,392,594
31,11,20,.355,11,6,0,14,2021,2218,671,1666,.403,167,504,.331,512,732,.699,1097,422,238,91,544,628
33,13,20,.394,10,7,3,12,2071,2240,721,1731,.417,193,553,.349,436,683,.638,1134,395,177,95,498,628
35,25,10,.714,13,3,8,5,2392,2271,820,1886,.435,216,631,.342,536,739,.725,1253,423,284,202,548,657
36,25,11,.694,19,2,2,7,2774,2427,1018,2134,.477,294,802,.367,444,641,.693,1234,605,294,97,434,576
28,3,25,.107,2,13,1,11,1718,2144,617,1626,.379,169,569,.297,315,503,.626,851,303,174,80,350,546
34,13,21,.382,9,8,3,10,2299,2372,803,1832,.438,244,701,.348,449,669,.671,1137,482,223,161,491,569
30,6,24,.200,6,7,0,16,1830,2130,638,1581,.404,162,524,.309,392,565,.694,928,340,161,88,428,600
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
30,13,17,.433,7,5,6,12,2220,2244,789,1830,.431,238,676,.352,404,588,.687,1143,491,222,78,445,598
33,22,11,.667,14,0,6,11,2189,1999,813,1813,.448,178,538,.331,385,598,.644,1191,382,201,106,393,519
28,10,18,.357,7,5,3,10,1853,1920,651,1484,.439,163,450,.362,388,571,.680,987,354,166,128,411,542
31,16,15,.516,11,5,3,8,2148,1980,742,1581,.469,191,575,.332,473,662,.715,1015,425,245,122,450,550
30,8,22,.267,6,7,1,13,2114,2363,772,1776,.435,213,616,.346,357,539,.662,1022,348,204,73,449,600
32,12,20,.375,6,8,4,11,1929,2036,715,1717,.416,178,565,.315,321,521,.616,1048,368,220,77,401,564
31,12,19,.387,10,9,2,10,2208,2216,815,1868,.436,159,492,.323,419,665,.630,1211,462,256,154,522,608
32,12,20,.375,10,8,1,9,2077,2237,759,1842,.412,204,597,.342,355,556,.638,1203,417,233,122,556,535
34,28,6,.824,11,2,9,1,2684,2142,967,1982,.488,251,643,.390,499,696,.717,1276,512,246,174,386,551
29,6,23,.207,4,8,1,14,1766,2084,644,1559,.413,168,520,.323,310,509,.609,949,345,147,79,448,523
33,22,11,.667,13,2,7,7,2399,2196,796,1788,.445,268,653,.410,539,685,.787,1068,462,231,83,417,626
32,16,16,.500,6,6,7,8,1851,1902,632,1683,.376,164,602,.272,423,639,.662,1125,349,269,124,530,553
33,7,26,.212,4,8,1,16,1998,2316,695,1754,.396,258,832,.310,350,494,.709,1001,425,216,54,460,683
28,14,14,.500,7,6,7,8,1890,1888,645,1387,.465,173,472,.367,427,586,.729,826,352,206,94,396,486
30,13,17,.433,11,9,2,7,1921,1956,659,1554,.424,106,374,.283,497,696,.714,1040,388,172,114,477,564
30,9,21,.300,5,10,4,11,1931,2001,730,1720,.424,178,566,.314,293,469,.625,1134,383,211,133,482,517
32,21,11,.656,10,3,8,6,2128,2126,729,1851,.394,180,573,.314,490,707,.693,1306,363,210,168,487,677
32,18,14,.563,12,4,6,10,2067,1992,742,1727,.430,147,468,.314,436,643,.678,1151,450,271,102,509,632
30,5,25,.167,3,7,1,15,2050,2469,723,1781,.406,232,722,.321,372,566,.657,995,353,220,79,476,627
33,21,12,.636,12,3,6,8,2501,2259,873,2064,.423,193,598,.323,562,753,.746,1222,399,267,137,323,577
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,8,23,.258,8,5,0,14,1900,2186,660,1576,.419,169,532,.318,411,643,.639,964,314,148,100,497,551
32,13,19,.406,11,4,2,14,2089,2185,763,1654,.461,129,390,.331,434,631,.688,1016,403,182,120,418,632
33,17,16,.515,13,3,4,12,2176,2167,767,1673,.458,193,534,.361,449,685,.655,1002,443,213,113,406,602
31,16,15,.516,8,6,8,8,2087,2035,724,1767,.410,199,545,.365,440,574,.767,1156,390,191,103,403,515
34,24,10,.706,13,2,7,7,2414,2155,835,1887,.443,297,781,.380,447,646,.692,1257,457,238,95,431,604
34,24,10,.706,14,3,5,6,2204,1944,859,1865,.461,188,537,.350,298,419,.711,1127,595,199,122,420,521
32,11,21,.344,5,9,4,10,2019,2181,674,1640,.411,241,693,.348,430,590,.729,1016,378,166,91,454,592
31,6,25,.194,5,10,0,11,1862,2190,659,1532,.430,167,498,.335,377,581,.649,952,364,191,64,542,601
31,12,19,.387,5,6,5,10,1930,1957,637,1541,.413,174,524,.332,482,732,.658,1026,378,205,91,486,616
32,15,17,.469,13,6,2,10,2078,2100,748,1732,.432,236,683,.346,346,491,.705,1078,454,127,110,388,505
32,15,17,.469,13,4,1,11,1927,1908,650,1469,.442,258,709,.364,369,496,.744,928,375,152,68,401,537
30,13,17,.433,8,5,5,11,1970,2055,681,1566,.435,195,477,.409,413,563,.734,909,326,146,96,386,554
30,16,14,.533,8,5,7,6,1964,1899,733,1533,.478,147,436,.337,351,537,.654,930,399,216,109,384,464
33,18,15,.545,9,0,6,14,2307,2328,806,1851,.435,135,503,.268,560,795,.704,1203,452,240,91,520,640
28,11,17,.393,6,6,5,11,1962,1981,682,1575,.433,173,457,.379,425,651,.653,977,423,184,64,389,516
32,18,14,.563,10,5,8,8,2363,2210,822,1841,.446,201,574,.350,518,749,.692,1195,419,261,117,460,645
36,21,15,.583,9,4,8,7,2540,2465,870,1948,.447,251,708,.355,549,725,.757,1220,427,225,79,503,621
34,22,12,.647,16,3,5,6,2556,2266,887,2057,.431,223,637,.350,559,862,.648,1333,481,242,103,472,711
35,27,8,.771,18,0,6,4,2674,2290,945,1979,.478,217,585,.371,567,782,.725,1371,555,239,155,508,664
29,7,22,.241,6,8,1,14,1690,1990,620,1626,.381,198,626,.316,252,381,.661,886,320,217,102,415,502
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
34,19,15,.559,13,3,5,9,2343,2199,857,1953,.439,197,589,.334,432,665,.650,1204,434,274,91,441,682
36,22,14,.611,13,6,5,7,2669,2386,933,1940,.481,202,572,.353,601,777,.773,1330,567,238,238,608,634
31,18,13,.581,11,6,6,4,2207,2135,779,1766,.441,168,501,.335,481,702,.685,1186,403,210,114,444,528
30,8,22,.267,6,8,2,14,1959,2197,655,1628,.402,232,737,.315,417,557,.749,980,396,189,72,505,587
30,15,15,.500,9,5,5,9,2198,2156,760,1741,.437,161,517,.311,517,708,.730,1105,428,215,124,410,581
29,15,14,.517,8,6,7,8,1854,1827,629,1632,.385,159,497,.320,437,635,.688,1147,342,175,70,390,529
35,23,12,.657,15,3,6,8,2644,2493,911,2003,.455,321,893,.359,501,706,.710,1247,531,243,57,460,589
31,17,14,.548,12,4,5,10,2368,2161,819,1734,.472,208,573,.363,522,777,.672,1222,498,243,70,502,585
30,15,15,.500,9,5,6,9,2138,2177,755,1671,.452,203,616,.330,425,629,.676,1009,431,213,78,429,562
30,16,14,.533,12,3,4,11,2119,2058,701,1718,.408,192,566,.339,525,731,.718,1174,339,185,62,396,545
31,17,14,.548,13,2,3,11,2400,2349,864,2015,.429,246,736,.334,426,626,.681,1077,502,310,84,452,679
30,10,20,.333,9,7,1,13,1999,2116,707,1701,.416,205,639,.321,380,562,.676,986,292,180,131,419,599
30,10,20,.333,8,6,2,14,1961,2155,658,1630,.404,179,526,.340,466,653,.714,1023,305,181,86,459,586
35,27,8,.771,19,2,6,3,2617,2316,937,2093,.448,213,572,.372,530,740,.716,1365,529,267,212,425,609
33,15,18,.455,8,4,5,12,2088,2083,720,1653,.436,182,491,.371,466,704,.662,1105,346,181,108,504,583
37,31,6,.838,16,2,8,1,2748,2287,1001,2189,.457,305,827,.369,441,687,.642,1395,625,335,223,508,625
32,14,18,.438,8,8,5,10,2026,2154,731,1795,.407,158,506,.312,406,598,.679,1095,382,218,113,416,569
31,3,28,.097,3,10,0,15,1726,2214,588,1673,.351,150,531,.282,400,581,.688,994,306,197,55,456,539
32,12,20,.375,5,8,6,10,2147,2294,719,1843,.390,187,593,.315,522,673,.776,1116,369,214,107,432,678
30,9,21,.300,5,8,3,11,1980,2085,689,1625,.424,186,554,.336,416,617,.674,1039,384,216,95,439,516
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
30,16,14,.533,9,5,7,7,1931,1927,653,1635,.399,154,489,.315,471,728,.647,1099,298,224,108,414,569
33,10,23,.303,7,7,2,14,2111,2289,739,1826,.405,241,669,.360,392,619,.633,1166,355,188,88,513,673
35,25,10,.714,16,2,7,4,2739,2432,914,2023,.452,243,701,.347,668,918,.728,1247,526,275,100,408,623
32,15,17,.469,13,3,2,9,2276,2255,775,1755,.442,195,615,.317,531,743,.715,1043,419,199,68,418,615
32,15,17,.469,8,5,5,12,2102,2207,783,1796,.436,116,368,.315,420,595,.706,1045,418,164,79,314,530
30,7,23,.233,5,6,2,16,1757,2089,588,1579,.372,152,490,.310,429,694,.618,1077,290,150,48,492,591
35,21,14,.600,14,4,2,6,2512,2419,924,2179,.424,201,604,.333,463,611,.758,1274,511,268,145,428,582
30,12,18,.400,6,7,3,10,2146,2211,764,1767,.432,262,721,.363,356,511,.697,1037,430,200,166,422,511
29,11,18,.379,9,5,2,13,1853,1865,692,1610,.430,142,440,.323,327,506,.646,1131,356,162,170,457,480
37,33,4,.892,19,1,10,1,2779,2176,979,2176,.450,222,681,.326,599,868,.690,1452,526,328,222,464,654
32,17,15,.531,8,4,7,11,2392,2429,816,1894,.431,232,701,.331,528,734,.719,1258,390,186,105,504,616
32,19,13,.594,12,4,5,7,2325,2123,796,1865,.427,251,682,.368,482,706,.683,1272,406,194,122,427,539
30,17,13,.567,9,2,7,10,1847,1766,658,1512,.435,160,482,.332,371,523,.709,956,370,178,90,404,513
38,31,7,.816,12,2,9,1,2737,2420,962,2135,.451,201,567,.354,612,877,.698,1482,611,248,107,532,734
35,21,14,.600,14,3,3,8,2341,2213,812,1910,.425,305,912,.334,412,544,.757,1087,542,223,92,402,535
32,18,14,.563,10,6,6,7,2254,2114,811,1799,.451,154,485,.318,478,689,.694,1090,394,192,47,379,653
31,17,14,.548,12,3,3,10,2108,2108,706,1777,.397,246,724,.340,450,626,.719,1182,358,159,98,400,579
33,22,11,.667,16,3,4,6,2189,2032,782,1772,.441,188,575,.327,437,611,.715,1136,466,274,201,477,588
36,23,13,.639,13,5,6,5,2677,2479,890,2058,.432,296,819,.361,601,847,.710,1384,447,250,271,518,604
32,7,25,.219,7,3,0,19,2029,2388,710,1850,.384,197,609,.323,412,607,.679,1076,359,239,52,492,716
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,16,15,.516,12,4,3,8,2254,2241,792,1830,.433,215,633,.340,455,625,.728,1151,362,173,103,409,580
31,7,24,.226,3,9,3,14,2008,2263,702,1742,.403,175,579,.302,429,605,.709,1007,340,208,55,406,631
31,11,20,.355,9,8,2,11,1887,1984,641,1597,.401,193,607,.318,412,607,.679,1006,352,162,69,407,617
38,31,7,.816,18,0,5,4,3096,2571,1124,2381,.472,263,746,.353,585,871,.672,1393,699,388,140,449,758
31,8,23,.258,6,8,1,14,1925,2188,673,1642,.410,196,585,.335,383,547,.700,1003,434,173,84,465,573
31,14,17,.452,7,5,7,11,2053,2152,707,1703,.415,189,590,.320,450,670,.672,1082,351,165,102,429,559
29,17,12,.586,12,3,5,9,1905,1868,664,1457,.456,174,460,.378,403,553,.729,913,357,124,115,337,524
36,20,16,.556,12,1,4,12,2511,2411,865,1978,.437,188,565,.333,593,823,.721,1400,464,239,139,557,657
35,23,12,.657,8,2,10,7,2333,2182,857,2047,.419,181,537,.337,438,675,.649,1330,393,232,110,456,673
33,19,14,.576,12,2,7,12,2241,2079,829,1839,.451,158,475,.333,425,631,.674,1146,414,223,120,431,572
31,19,12,.613,12,2,6,6,2119,1959,739,1671,.442,155,496,.313,486,680,.715,1062,397,223,65,406,564
30,19,11,.633,12,3,7,7,2129,2059,717,1740,.412,216,657,.329,479,662,.724,1114,378,199,75,419,620
31,18,13,.581,14,4,4,8,1999,1872,686,1571,.437,206,571,.361,421,600,.702,861,410,265,52,357,553
32,21,11,.656,15,4,6,7,2200,2061,749,1770,.423,244,708,.345,458,671,.683,1056,437,229,123,378,548
34,21,13,.618,13,8,8,5,2400,2249,826,1934,.427,165,540,.306,583,781,.746,1241,407,227,163,406,655
30,14,16,.467,8,5,5,10,1876,1936,647,1676,.386,240,743,.323,342,534,.640,1081,323,164,84,398,619
32,17,15,.531,12,4,4,10,2443,2380,865,1859,.465,222,555,.400,491,700,.701,1106,457,231,122,428,593
34,22,12,.647,16,2,6,7,2510,2246,841,1824,.461,239,627,.381,589,839,.702,1174,522,218,110,424,708
30,11,19,.367,9,6,2,13,1863,2000,672,1540,.436,105,361,.291,414,628,.659,952,292,187,53,449,540
35,26,9,.743,11,3,10,6,2665,2369,889,2142,.415,260,841,.309,627,883,.710,1363,492,346,165,461,640
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,20,11,.645,11,3,7,6,2029,1866,709,1488,.476,211,588,.359,400,590,.678,895,460,271,43,442,631
31,1,30,.032,1,13,0,15,1545,2083,548,1602,.342,139,561,.248,310,491,.631,1037,275,225,93,567,635
31,13,18,.419,6,4,5,10,2119,2219,764,1768,.432,160,481,.333,431,663,.650,1068,318,269,111,500,628
31,15,16,.484,11,3,4,13,2261,2410,800,1799,.445,212,589,.360,449,655,.685,1085,497,252,131,509,556
32,16,16,.500,10,2,4,13,2145,2138,782,1842,.425,209,630,.332,372,587,.634,1204,387,256,156,579,586
31,4,27,.129,3,7,0,17,1888,2468,664,1780,.373,171,569,.301,389,567,.686,954,364,274,93,543,626
30,5,25,.167,2,10,3,14,1888,2216,659,1657,.398,174,554,.314,396,611,.648,1070,316,162,112,456,572
30,16,14,.533,14,4,2,8,2189,2087,773,1626,.475,202,538,.375,441,615,.717,1075,458,168,114,435,480
